FIPS,stateFIPS,countyFIPS_2d,County,State,Cases,Deaths,Poverty,Population,W_Male,W_Female,B_Male,B_Female,H_Male,H_Female,I_Male,I_Female,A_Male,A_Female,NH_Male,NH_Female,Risk_Index,Risk_Cat,TotalPop
01001,01,001,Autauga County,AL,10.59026448608823,6.812345094177479,10.916414856894058,10.930764943599616,10.651360,10.690125,9.282754,9.414913,7.903227,7.787797,5.978886,6.100319,6.588926,6.778785,4.465908,4.317488,65.42,Above Average,11.669220
01003,01,003,Baldwin County,AL,11.251171014528364,6.86484777797086,12.27957865082391,12.315975827637399,12.162852,12.219783,9.895052,9.957739,9.734477,9.629182,7.908755,7.872455,7.756623,8.129764,5.537334,5.587249,68.39,Above Average,13.079324
01005,01,005,Barbour County,AL,10.11151746604029,5.043425116919247,9.997842731017274,10.113991560303875,9.465448,9.359450,9.452737,9.330787,7.552762,7.291656,5.652489,5.204007,4.844187,4.948760,4.276666,3.713572,97.09,High,10.873490
01007,01,007,Bibb County,AL,9.520468633257794,4.634728988229636,9.9140317664118,10.016548344820142,9.777641,9.739556,8.691315,8.221210,6.944087,6.746412,5.068904,5.017280,4.276666,4.290459,3.912023,2.772589,83.36,Above Average,10.751285
01009,01,009,Blount County,AL,9.868430160720726,4.406719247264253,10.954973292458972,10.965193780508258,10.912649,10.945759,7.068172,6.984716,9.092570,8.980424,6.383507,6.393591,5.446737,5.579730,4.624973,4.127134,81.75,Above Average,11.794481
01011,01,011,Bullock County,AL,10.059336788998968,6.476972362889683,9.046408680293819,9.220389707829185,8.109225,7.682482,8.918115,8.824972,7.224753,7.140453,4.718499,4.709530,3.401197,3.496508,4.477337,4.304065,99.01,Very high,10.036531
01013,01,013,Butler County,AL,10.715506065231846,7.586803535162581,9.868585500526864,9.875499515995958,9.184407,9.277625,8.965207,9.188708,6.152733,6.030685,4.753590,4.820282,5.869297,5.480639,2.564949,2.397895,99.44,Very high,10.591522
01015,01,015,Calhoun County,AL,10.453456963419745,6.042632833682381,11.620667143408447,11.640482798385104,11.335269,11.396673,10.046115,10.189794,8.882392,8.835647,6.908755,6.879356,6.981006,7.315884,5.375278,5.356586,91.49,High,12.394641
01017,01,017,Chambers County,AL,10.877518751046855,7.937731775260109,10.4080737515121,10.411930339600325,9.825526,9.894548,9.439227,9.576371,7.275865,7.108244,5.252273,5.123964,6.242223,5.683580,3.295837,2.890372,98.7,Very high,11.144655
01019,01,019,Cherokee County,AL,8.921857979353632,5.996452088619021,10.153467757803897,10.173362006337944,10.096213,10.125230,7.090077,7.020191,6.548219,6.501290,5.690359,5.683580,4.595120,5.036953,2.639057,2.484907,90.01,High,10.892434
01021,01,021,Chilton County,AL,9.956364592136895,5.4510384535657,10.683981470512775,10.70162518028701,10.551167,10.589031,8.452121,8.488176,8.703341,8.511577,5.908083,5.840642,5.442418,5.690359,4.718499,4.276666,90.84,High,11.511715
01023,01,023,Choctaw County,AL,9.665166909622071,6.675823221634848,9.447938944259977,9.44057869576626,8.858795,8.912743,8.469892,8.664060,5.111988,5.393628,3.871201,3.713572,3.178054,3.737670,0.693147,1.098612,99.2,Very high,10.149097
